Time (ns) ,Number of positrons
312052,54683
312201,57121
312350,59883
312499,61271
312649,62222
312798,62690
312947,61691
313096,60569
313245,58326
313395,55684
313544,51980
313693,49070
313842,45408
313991,41690
314141,38097
314290,35349
314439,32319
314588,30048
314737,28178
314887,27673
315036,27315
315185,28259
315334,29229
315483,31721
315633,34047
315782,36777
315931,40209
316080,43508
316229,46858
316379,49965
316528,52695
316677,55161
316826,56996
316975,57827
317125,58278
317274,57768
317423,56882
317572,55283
317721,52612
317871,50168
318020,46747
318169,43338
318318,40183
318467,36580
318617,33415
318766,30708
318915,28490
319064,26976
319213,26000
319363,25845
319512,26253
319661,27098
319810,29047
319959,31221
320109,34172
320258,36562
320407,40170
320556,43420
320705,45991
320855,48793
321004,51035
321153,52576
321302,53763
321451,54543
321601,54280
321750,53965
321899,51789
322048,50162
322197,47333
322347,44529
322496,41485
322645,38019
322794,34835
322943,31714
323093,29316
323242,27170
323391,25572
323540,24477
323689,24030
323839,24084
323988,25129
324137,26705
324286,28426
324435,30955
324585,33485
324734,36328
324883,39112
325032,42222
325181,44982
325331,47287
325480,48687
325629,50270
325778,51129
325927,50772
326077,50143
326226,49036
326375,47154
326524,44826
326673,42672
326823,39300
326972,36275
327121,33552
327270,30531
327419,27965
327569,25717
327718,24271
327867,23045
328016,22616
328165,22474
328315,23185
328464,24212
328613,26589
328762,28219
328911,31060
329061,33615
329210,36016
329359,39161
329508,41126
329657,43693
329807,45342
329956,46905
330105,47772
330254,47979
330403,47042
330553,46281
330702,44543
330851,42158
331000,40130
331149,37802
331299,34609
331448,31713
331597,29313
331746,26621
331895,24753
332045,23121
332194,21539
332343,21138
332492,20952
332641,21435
332791,22548
332940,24098
333089,25730
333238,28175
333387,30536
333537,33292
333686,35911
333835,37922
333984,40230
334133,41933
334283,42978
334432,43675
334581,44639
334730,44345
334879,43148
335029,41606
335178,40527
335327,38014
335476,35790
335625,33248
335775,30944
335924,27876
336073,25476
336222,23210
336371,21645
336521,20416
336670,19811
336819,19403
336968,20172
337117,20712
